Cartographie PMSI; ; 
Référentiel géographique : France par code géographique PMSI; ; 
Code;Libellé;Séjours PMSI MCO au lieu de résidence 2018
01000;BOURG-EN-BRESSE;N/A
01090;MONTMERLE-SUR-SAÔNE;N/A
01100;OYONNAX;N/A
01110;PLATEAU D'HAUTEVILLE;N/A
01120;MONTLUEL;N/A
01140;SAINT-DIDIER-SUR-CHALARONNE;N/A
01150;LAGNIEU;N/A
01160;PONT-D'AIN;N/A
01170;GEX;N/A
01190;PONT-DE-VAUX;N/A
01200;VALSERHÔNE;N/A
01210;FERNEY-VOLTAIRE;N/A
01220;DIVONNE-LES-BAINS;N/A
01230;SAINT-RAMBERT-EN-BUGEY;N/A
01240;CERTINES;N/A
01250;CEYZÉRIAT;N/A
01260;VALROMEY-SUR-SÉRAN;N/A
01270;COLIGNY;N/A
01280;PRÉVESSIN-MOËNS;N/A
01300;BELLEY;N/A
01310;POLLIAT;N/A
01320;CHALAMONT;N/A
01330;VILLARS-LES-DOMBES;N/A
01340;ATTIGNAT;N/A
01350;CULOZ;N/A
01360;BÉLIGNEUX;N/A
01370;VAL-REVERMONT;N/A
01380;BÂGÉ-DOMMARTIN;N/A
01390;SAINT-ANDRÉ-DE-CORCY;N/A
01400;CHÂTILLON-SUR-CHALARONNE;N/A
01410;CHAMPFROMIER;N/A
01420;CORBONOD;N/A
01430;SAINT-MARTIN-DU-FRÊNE;N/A
01440;VIRIAT;N/A
01450;PONCIN;N/A
01470;SERRIÈRES-DE-BRIORD;N/A
01480;JASSANS-RIOTTIER;N/A
01500;AMBÉRIEU-EN-BUGEY;N/A
01510;ARTEMARE;N/A
01540;VONNAS;N/A
01550;COLLONGES;N/A
01560;SAINT-TRIVIER-DE-COURTES;N/A
01570;FEILLENS;N/A
01580;IZERNORE;N/A
01590;DORTAN;N/A
01600;TRÉVOUX;N/A
01630;SAINT-GENIS-POUILLY;N/A
01640;JUJURIEUX;N/A
01660;MÉZÉRIAT;N/A
01680;GROSLÉE-SAINT-BENOIT;N/A
01700;MIRIBEL;N/A
01710;THOIRY;N/A
01800;MEXIMIEUX;N/A
01851;MARBOZ;N/A
01960;PÉRONNAS;N/A
01990;SAINT-TRIVIER-SUR-MOIGNANS;N/A
01C01;REPLONGES/GRIÈGES;N/A
01C02;NANTUA;N/A
02000;LAON;N/A
02100;SAINT-QUENTIN;12
02110;BOHAIN-EN-VERMANDOIS;N/A
02120;GUISE;N/A
02130;FÈRE-EN-TARDENOIS;N/A
02140;VERVINS;N/A
02150;SISSONNE;N/A
02160;LES SEPTVALLONS;N/A
02170;LE NOUVION-EN-THIÉRACHE;N/A
02190;VILLENEUVE-SUR-AISNE;N/A
02200;SOISSONS;N/A
02210;COINCY;N/A
02220;BRAINE;N/A
02230;FRESNOY-LE-GRAND;N/A
02250;MARLE;N/A
02260;LA CAPELLE;N/A
02270;CRÉCY-SUR-SERRE;N/A
02290;VIC-SUR-AISNE;N/A
02300;CHAUNY;14
02310;CHARLY-SUR-MARNE;N/A
02320;ANIZY-LE-GRAND;N/A
02330;DHUYS ET MORIN-EN-BRIE;N/A
02340;MONTCORNET;N/A
02350;LIESSE-NOTRE-DAME;N/A
02360;ROZOY-SUR-SERRE;N/A
02370;VAILLY-SUR-AISNE;N/A
02380;COUCY-LE-CHÂTEAU-AUFFRIQUE;N/A
02390;ORIGNY-SAINTE-BENOITE;N/A
02400;CHÂTEAU-THIERRY;17
02410;SAINT-GOBAIN;N/A
02420;LEHAUCOURT;N/A
02430;GAUCHY;N/A
02440;MONTESCOURT-LIZEROLLES;N/A
02450;BOUÉ;N/A
02460;LA FERTÉ-MILON;N/A
02470;NEUILLY-SAINT-FRONT;N/A
02480;JUSSY;N/A
02490;VERMAND;N/A
02500;HIRSON;N/A
02510;ÉTREUX;N/A
02520;FLAVY-LE-MARTEL;N/A
02540;VIELS-MAISONS;N/A
02550;ORIGNY-EN-THIÉRACHE;N/A
02570;CHÉZY-SUR-MARNE;N/A
02580;ÉTRÉAUPONT;N/A
02590;ÉTREILLERS;N/A
02600;VILLERS-COTTERÊTS;N/A
02620;BUIRONFOSSE;N/A
02630;WASSIGNY;N/A
02650;CRÉZANCY;N/A
02670;FOLEMBRAY;N/A
02680;GRUGIES;N/A
02690;ESSIGNY-LE-GRAND;N/A
02700;TERGNIER;N/A
02720;HOMBLIÈRES;N/A
02760;HOLNON;N/A
02800;LA FÈRE;N/A
02810;GANDELU;N/A
02820;SAINT-ERME-OUTRE-ET-RAMECOURT;N/A
02830;SAINT-MICHEL;N/A
02840;ATHIES-SOUS-LAON;N/A
02850;TRÉLOU-SUR-MARNE;N/A
02860;BRUYÈRES-ET-MONTBÉRAULT;N/A
02870;CRÉPY;N/A
02880;CROUY;N/A
02C01;SERAUCOURT-LE-GRAND/SAINT-SIM;N/A
02C02;RIBEMONT/MO¾-DE-L'AISNE;N/A
03000;MOULINS;N/A
03100;MONTLUÇON;N/A
03110;VENDAT;N/A
03120;LAPALISSE;N/A
03130;LE DONJON;N/A
03140;CHANTELLE;N/A
03150;VARENNES-SUR-ALLIER;N/A
03160;BOURBON-L'ARCHAMBAULT;N/A
03170;DOYET;N/A
03190;VALLON-EN-SULLY;N/A
03200;VICHY;N/A
03210;SOUVIGNY;N/A
03220;JALIGNY-SUR-BESBRE;N/A
03230;LUSIGNY;N/A
03240;TRONGET;N/A
03250;LE MAYET-DE-MONTAGNE;N/A
03260;SAINT-GERMAIN-DES-FOSSÉS;N/A
03270;SAINT-YORRE;N/A
03290;DOMPIERRE-SUR-BESBRE;N/A
03300;CUSSET;N/A
03310;NÉRIS-LES-BAINS;N/A
03320;LURCY-LÉVIS;N/A
03330;BELLENAVES;N/A
03340;NEUILLY-LE-RÉAL;N/A
03350;CÉRILLY;N/A
03360;AINAY-LE-CHÂTEAU;N/A
03370;CHAZEMAIS;N/A
03380;HURIEL;N/A
03390;MONTMARAULT;N/A
03400;YZEURE;N/A
03410;DOMÉRAT;N/A
03420;MARCILLAT-EN-COMBRAILLE;N/A
03430;COSNE-D'ALLIER;N/A
03440;BUXIÈRES-LES-MINES;N/A
03450;ÉBREUIL;N/A
03460;TRÉVOL;N/A
03470;SALIGNY-SUR-ROUDON;N/A
03500;SAINT-POURÇAIN-SUR-SIOULE;N/A
03510;MOLINET;N/A
03600;COMMENTRY;N/A
03630;DÉSERTINES;N/A
03700;BELLERIVE-SUR-ALLIER;N/A
03800;GANNAT;N/A
04000;DIGNE-LES-BAINS;N/A
04100;MANOSQUE;N/A
04120;CASTELLANE;N/A
04130;VOLX;N/A
04140;SEYNE;N/A
04150;BANON;N/A
04170;SAINT-ANDRÉ-LES-ALPES;N/A
04180;VILLENEUVE;N/A
04190;LES MÉES;N/A
04200;SISTERON;N/A
04210;VALENSOLE;N/A
04220;SAINTE-TULLE;N/A
04230;SAINT-ÉTIENNE-LES-ORGUES;N/A
04240;ANNOT;N/A
04250;LA MOTTE-DU-CAIRE;N/A
04270;MÉZEL;N/A
04290;VOLONNE;N/A
04300;FORCALQUIER;N/A
04320;ENTREVAUX;N/A
04330;BARRÊME;N/A
04420;LE BRUSQUET;N/A
04500;RIEZ;N/A
04700;ORAISON;N/A
04800;GRÉOUX-LES-BAINS;N/A
04860;PIERREVERT;N/A
04C01;SAINT-PAUL-SUR-UBAYE/JAUSIERS;N/A
04C02;COLMARS/ALLOS;N/A
04C03;PUIMOISSON/MOUSTIERS-SAINTE-M;N/A
04C04;SAINT-MICHEL-L'OBSERVATOIRE/R;N/A
04C06;THOARD/CHAMPTERCIER;N/A
04C07;UBAYE-SERRE-PONÇON/BARCELONNE;N/A
04C08;PEYRUIS/CHÂTEAU-ARNOUX-SAINT-;N/A
04C09;MALIJAI;N/A
05000;GAP;N/A
05100;BRIANÇON;N/A
05110;LA SAULCE;N/A
05120;L'ARGENTIÈRE-LA-BESSÉE;N/A
05130;TALLARD;N/A
05140;ASPRES-SUR-BUËCH;N/A
05150;ROSANS;N/A
05160;SAVINES-LE-LAC;N/A
05190;ESPINASSES;N/A
05230;CHORGES;N/A
05300;LARAGNE-MONTÉGLIN;N/A
05310;LA ROCHE-DE-RAME;N/A
05330;SAINT-CHAFFREY;N/A
05400;VEYNES;N/A
05700;SERRES;N/A
05800;AUBESSAGNE;N/A
05C01;VILLAR-D'ARÊNE/LE MONÊTIER-LE;N/A
05C02;EMBRUN/CHÂTEAUROUX-LES-ALPES;N/A
05C03;ARVIEUX/AIGUILLES/ABRIÈS-RIST;N/A
05C04;VALLOUISE-PELVOUX;N/A
05C05;VARS/GUILLESTRE;N/A
05C06;SAINT-BONNET-EN-CHAMPSAUR/DÉV;N/A
05C07;SAINT-JEAN-SAINT-NICOLAS/ORCI;N/A
06000;NICE;15
06110;LE CANNET;N/A
06130;GRASSE;N/A
06140;VENCE;N/A
06190;ROQUEBRUNE-CAP-MARTIN;N/A
06210;MANDELIEU-LA-NAPOULE;N/A
06220;VALLAURIS;N/A
06230;VILLEFRANCHE-SUR-MER;N/A
06240;BEAUSOLEIL;N/A
06250;MOUGINS;N/A
06260;PUGET-THÉNIERS;N/A
06270;VILLENEUVE-LOUBET;N/A
06310;BEAULIEU-SUR-MER;N/A
06320;CAP-D'AIL;N/A
06330;ROQUEFORT-LES-PINS;N/A
06340;LA TRINITÉ;N/A
06360;ÈZE;N/A
06370;MOUANS-SARTOUX;N/A
06380;SOSPEL;N/A
06390;CONTES;N/A
06400;CANNES;N/A
06410;BIOT;N/A
06420;VALDEBLORE;N/A
06430;TENDE;N/A
06440;L'ESCARÈNE;N/A
06450;ROQUEBILLIÈRE;N/A
06460;SAINT-VALLIER-DE-THIEY;N/A
06470;PÉONE;N/A
06480;LA COLLE-SUR-LOUP;N/A
06500;MENTON;N/A
06510;CARROS;N/A
06530;PEYMEINADE;N/A
06540;BREIL-SUR-ROYA;N/A
06550;LA ROQUETTE-SUR-SIAGNE;N/A
06560;VALBONNE;N/A
06570;SAINT-PAUL-DE-VENCE;N/A
06580;PÉGOMAS;N/A
06590;THÉOULE-SUR-MER;N/A
06600;ANTIBES;N/A
06610;LA GAUDE;N/A
06620;LE BAR-SUR-LOUP;N/A
06640;SAINT-JEANNET;N/A
06650;LE ROURET;N/A
06660;SAINT-ÉTIENNE-DE-TINÉE;N/A
06670;LEVENS;N/A
06690;TOURRETTE-LEVENS;N/A
06700;SAINT-LAURENT-DU-VAR;N/A
06710;VILLARS-SUR-VAR;N/A
06730;SAINT-ANDRÉ-DE-LA-ROCHE;N/A
06740;CHÂTEAUNEUF-GRASSE;N/A
06790;ASPREMONT;N/A
